user_no,country,aov,avg_markdown
5232272738481487043,sweden,3588.0,-0.5
-6155725765006389427,sweden,796.3199999999999,-0.29695652
-2900230612282984578,sweden,1006.9333333333332,-0.23333333
2925875641937802312,sweden,2131.2000000000003,-0.135
-5176197184998336072,sweden,239.2,-0.4
-3725126797732318745,sweden,610.0,-0.386
-4494780516021043661,sweden,657.6,-0.3
-2645703497076205643,sweden,4552.8,-0.198
1892930259500451899,sweden,337.2,-0.455
3552826969590023132,sweden,4173.2,-0.16
3546544464200475333,sweden,350.79999999999995,-0.16666667
2752500956437138031,sweden,390.0,-0.3125
2052627536919294503,sweden,743.6,-0.4
6204960495595393524,sweden,576.8,-0.782
-3758376210136970087,sweden,3036.0,-0.39
4943460887139118335,sweden,1026.4,-0.41666667
4474304375048368269,sweden,998.4,-0.165
2304442656516569230,sweden,797.5999999999999,-0.2
-5186254359140374674,sweden,1553.2,-0.24076923
-1235357503186089063,sweden,278.4,-0.44
8878080903869914000,sweden,483.2,-0.51
-6298456230853858066,sweden,525.2,-0.362
-1822650511111046225,sweden,1198.4,-0.19857143
1320989719569969026,sweden,399.2,-0.6
3791909305098368696,sweden,239.2,-0.56
8783454442609008558,sweden,10272.0,-0.07666667
-2841446256465702949,sweden,817.5999999999999,-0.24
2201846199004925057,sweden,398.4,-0.2
1617573343093555417,sweden,239.2,-0.2
5049832722542872732,sweden,395.2,-0.28
-8310125250184266388,sweden,271.2,-0.01
2884913012830416517,sweden,1742.4,-0.45
-7182356193800950922,sweden,466.4,-0.2
-6720994993919584902,sweden,199.2,-0.2
-4149120469569293153,sweden,430.4,-0.06
-4540703972210543057,sweden,1222.0,-0.20695122
-6157839968050506517,sweden,559.2,-0.2
5581744381055601872,sweden,329.06666666666666,-0.17666667
7383308485055826126,sweden,395.2,-0.28
-1331646549097961103,sweden,714.4,-0.2575
8922413072576762812,sweden,864.8000000000001,-0.455
-1703604538172010260,sweden,239.2,-0.2
3470327832049037338,sweden,4319.2,-0.28
2608596749923345048,sweden,1955.2,-0.14666667
-519555263312421044,sweden,834.4,-0.47833333
1208113801559890295,sweden,639.2,-0.2
-488816237680552177,sweden,986.4,-0.174
-4783615969358094266,sweden,791.8,-0.37181818
-8340782758875410098,sweden,717.4857142857143,-0.31722222
-4605746377415338671,sweden,246.4,-0.59
-1614595613668381463,sweden,5490.400000000001,-0.2575
-3316212139251454993,sweden,824.8,-0.3925
-4115771629241311080,sweden,270.4,-0.44
8717049726516409730,sweden,2396.0,-0.17
2808389151954801691,sweden,413.2,-0.4525
-3944195654369777802,sweden,378.4,-0.28
1511977172841772278,sweden,295.2,-0.195
-9019431789810627238,sweden,222.4,-0.595
-3462121224871291032,sweden,1415.2,-0.562
-1302597565721536436,sweden,335.2,-0.44
8849641154693174935,sweden,976.8,-0.44
8503104262308076313,sweden,194.8,-0.17
-3556353194285260022,sweden,238.4,-0.41
-4051217154945055262,sweden,662.4,-0.395
7505669072516490200,sweden,271.2,-0.2
104247146754141034,sweden,507.6,-0.168
-5210258450663062995,sweden,391.2,-0.44
-20661245192027927,sweden,1557.6,-0.28
-5486969098279817499,sweden,2315.2,0.0
8980585728508739181,sweden,302.4,-0.505
3008395598310492050,sweden,311.2,-0.7
-1608484751263088262,sweden,503.2,-0.44
6392353340465068495,sweden,670.9333333333333,-0.15833333
-5053570439765460257,sweden,366.0,-0.38
3414565509919576299,sweden,677.6,-0.2
-7200181555361827083,sweden,836.0,-0.46166667
2747926679536854767,sweden,335.2,-0.52
-3582687125440413970,sweden,878.4000000000001,-0.37
7894564155456275941,sweden,535.6,-0.495
-7473165324560482949,sweden,319.2,0.0
8338800976053386612,sweden,223.2,-0.33
5321210707573279885,sweden,546.8,-0.18666667
4757715477171503226,sweden,1079.2,-0.005
5256965390761957589,sweden,215.2,-0.78
-3588756566753903112,sweden,521.2,-0.305
-2340806840191526650,sweden,1178.1333333333334,-0.33692308
-4954070946079810254,sweden,735.2,-0.4425
-5781054904551621146,sweden,270.8,-0.42333333
1230728212907350856,sweden,1276.0,-0.49
-3759179353317443376,sweden,964.8,-0.43
-7460650696331021472,sweden,530.8000000000001,-0.25666667
-4979841310279206583,sweden,1733.0666666666666,-0.28157895
8597135167115651389,sweden,454.9333333333333,-0.20333333
-4150442397420489222,sweden,518.4,-0.2
8341688873756076448,sweden,507.2,-0.2
6496063556456246410,sweden,4796.0,-0.4
-9068640230836622880,sweden,958.4,-0.2
-4076973502851674385,sweden,742.4000000000001,-0.485
2267596430756280030,sweden,167.2,-0.76
4862670864355410550,sweden,588.0,-0.2
834391171821269002,sweden,810.8,-0.3175
4452292542554890955,sweden,1476.8000000000002,-0.3725
-3395190731186320640,sweden,535.2,-0.01
1386755585073790808,sweden,1880.2666666666669,-0.394
4030491594204487628,sweden,524.0,-0.54333333
8042349505559430641,sweden,1687.2,-0.248
8032699197005590184,sweden,965.6,-0.28916667
-4243966188104789485,sweden,1492.0,-0.35714286
-1512869646199260162,sweden,191.2,-0.2
6346027782769479722,sweden,223.2,-0.44
2051344165782261598,sweden,361.06666666666666,-0.324
-6325246743914324233,sweden,580.8,-0.15
